hr_code,full_name,structure_name,position,status,manager_id,tenure,termination_date,employee_cost
EMP000001,John Mitchell,Product Management,Senior Product Manager,Active,EMP000065,1,,180341.91
E000002,Anthony Anderson,Human Resources,HR Business Partner,Terminated,EMP000001,0,2024-04-08,57997.69
E000003,Dennis Phillips,Customer Support,Support Team Lead,Active,EMP000001,2,,200626.83
E000004,Jennifer Campbell,Finance & Accounting,Bookkeeper,Active,E000003,0,,46576.0
E000005,Alexander Jones,Sales,Business Development Rep,Active,EMP000001,1,,48674.62
HR000006,George Thompson,IT Operations,IT Manager,Active,EMP000001,1,,178735.79
E000007,Ryan Harris,Product Management,VP of Product,Active,,5,,308338.56
HR000008,Emily Jones,IT Operations,Security Analyst,Terminated,HR000006,10,2025-07-13,105956.72
HR000009,Catherine Nguyen,Research & Development,Principal Scientist,Active,E000007,2,,143766.48
EMP000010,Nicole Jones,Research & Development,Research Engineer,Active,EMP000001,4,,82286.82
E000011,Heather Adams,Marketing,Marketing Specialist,Terminated,HR000006,1,2025-08-16,66913.67
E000012,Christopher White,Customer Support,Escalation Specialist,Terminated,E000003,15,2024-11-26,142727.83
HR000013,Michael Thomas,Executive Management,Director,Terminated,,0,2024-08-03,367303.13
CV000014,Shirley Collins,Executive Management,Chief of Staff,Active,E000003,16,,182712.17
EMP000015,Laura Morris,Human Resources,Talent Acquisition Lead,Active,E000003,0,,153665.99
CV000016,William Morris,Sales,Sales Manager,Active,E000003,0,,176828.44
EMP000017,Jacob Phillips,Research & Development,Data Scientist,Active,E000007,0,,75628.93
HR000018,Ronald Campbell,Marketing,Marketing Specialist,Terminated,E000007,1,2024-08-16,80338.82
EMP000019,Jeffrey Phillips,Human Resources,HR Specialist,Terminated,E000003,0,2024-10-18,90080.83
CV000020,Timothy Smith,Research & Development,ML Engineer,Active,CV000016,13,,113470.84
EMP000021,Matthew Jackson,IT Operations,System Administrator,Active,HR000006,4,,70297.07
EMP000022,William Hill,Engineering,Engineering Manager,Active,EMP000015,9,,216679.69
E000023,Edward Nelson,Executive Management,Executive Assistant,Active,CV000016,3,,59193.42
HR000024,Dorothy Cook,Engineering,Software Engineer,Active,EMP000022,3,,105373.62
EMP000025,Elizabeth Stewart,IT Operations,DevOps Engineer,Active,HR000006,1,,83672.91
E000026,Steven Davis,Engineering,Engineering Manager,Active,E000003,4,,180516.87
CV000027,Kimberly Morris,Sales,Sales Representative,Active,CV000016,5,,61675.22
E000028,Joseph Jones,Customer Support,Escalation Specialist,Terminated,E000003,0,2025-10-23,81575.75
CV000029,Gregory Thomas,Engineering,Tech Lead,Terminated,EMP000022,7,2025-06-04,181324.3
EMP000030,Daniel Mitchell,Marketing,Brand Manager,Active,EMP000015,8,,212577.48
E000031,Jennifer Edwards,Finance & Accounting,Senior Accountant,Active,E000007,1,,114071.53
EMP000032,Jerry Moore,Marketing,CMO,Active,,3,,569492.4
HR000033,Steven Lopez,Executive Management,General Manager,Active,CV000016,0,,154198.1
CV000034,Jennifer Rivera,Research & Development,Research Scientist,Active,HR000033,3,,94944.78
HR000035,Raymond Murphy,Marketing,Marketing Analyst,Active,EMP000032,1,,89788.66
EMP000036,Edward Nelson,Research & Development,R&D Director,Active,,6,,503364.64
EMP000037,Donna Wilson,Research & Development,Principal Scientist,Active,EMP000036,4,,123458.36
EMP000038,Angela Nelson,Executive Management,General Manager,Active,HR000033,0,,146440.8
EMP000039,Jacob Flores,Engineering,Staff Engineer,Active,E000026,2,,109268.65
E000040,Sandra Lopez,Human Resources,Talent Acquisition Lead,Active,EMP000015,0,,189383.54
E000041,Helen Evans,Human Resources,Talent Acquisition Lead,Active,E000026,8,,213570.52
CV000042,Samantha Thomas,Product Management,Product Analyst,Terminated,EMP000001,0,2025-04-10,73151.45
EMP000043,Alexander Wilson,Engineering,Staff Engineer,Active,E000026,2,,118880.29
E000044,Kathleen Smith,Marketing,Digital Marketing Manager,Active,EMP000030,7,,219188.4
EMP000045,Amy Johnson,Research & Development,ML Engineer,Active,EMP000015,5,,102206.86
CV000046,Samuel Ramirez,Customer Support,Support Team Lead,Active,E000003,1,,154935.0
EMP000047,Maria Parker,Research & Development,ML Engineer,Active,EMP000036,9,,109436.25
E000048,Donald Gonzalez,Sales,Sales Analyst,Terminated,CV000016,0,2025-03-15,85083.77
HR000049,Scott Hill,Engineering,Senior Software Engineer,Terminated,E000026,16,2023-12-26,123614.69
E000050,Frank Roberts,Product Management,VP of Product,Active,,4,,404545.09
HR000051,Christine White,Engineering,QA Engineer,Active,E000026,5,,85228.28
CV000052,Nancy Campbell,Human Resources,CHRO,Active,,1,,487659.63
CV000053,Dorothy Edwards,IT Operations,System Administrator,Active,HR000006,1,,62411.13
EMP000054,Brian Phillips,Product Management,Product Owner,Active,E000050,1,,65294.46
CV000055,Patrick Clark,Finance & Accounting,Bookkeeper,Active,E000044,7,,78086.59
