hr_code,full_name,structure_name,position,status,manager_id,tenure,termination_date,employee_cost
HR000001,Jacob Williams,Marketing,CMO,Active,,6,,525757.98
CV000002,Ashley Hill,Executive Management,CEO,Active,,9,,556465.12
CV000003,Carolyn Nguyen,Engineering,QA Engineer,Active,CV000002,12,,108998.86
HR000004,Janet Clark,Engineering,Software Engineer,Active,HR000001,5,,90598.7
HR000005,Rachel Martin,Sales,Account Executive,Active,CV000002,8,,58422.09
HR000006,George Lopez,Customer Support,Technical Support Agent,Terminated,HR000001,3,2025-10-03,54720.45
EMP000007,Steven Morris,Research & Development,Research Engineer,Active,HR000001,4,,102046.23
EMP000008,Patricia Nguyen,IT Operations,IT Specialist,Active,CV000002,3,,74348.4
CV000009,Richard Wilson,Human Resources,HR Specialist,Active,CV000002,2,,98942.03
E000010,Melissa Baker,Marketing,Digital Marketing Manager,Active,HR000001,8,,203611.34
HR000011,James Robinson,Research & Development,R&D Director,Active,,9,,386570.77
EMP000012,Laura Flores,Finance & Accounting,Bookkeeper,Terminated,E000010,2,2024-11-29,68475.37
EMP000013,Debra Lewis,IT Operations,Security Analyst,Active,E000010,3,,97754.04
E000014,Donna Hill,IT Operations,IT Manager,Terminated,HR000001,0,2025-09-04,170032.48
EMP000015,Lisa Morris,Finance & Accounting,Accountant,Terminated,CV000002,3,2024-09-13,57611.13
CV000016,Kenneth Morris,Research & Development,ML Engineer,Active,HR000001,1,,81304.33
CV000017,Frank Perez,IT Operations,Security Analyst,Active,HR000011,7,,103229.11
EMP000018,Mark Taylor,Engineering,Tech Lead,Active,CV000002,0,,181840.69
HR000019,Sarah Edwards,Marketing,Brand Manager,Active,E000010,4,,140345.37
CV000020,Richard Sanchez,Sales,Sales Analyst,Active,E000010,9,,108671.11
EMP000021,Karen Hill,Product Management,Senior Product Manager,Active,HR000001,6,,207132.12
E000022,Carolyn Torres,Finance & Accounting,CFO,Active,,8,,545955.53
HR000023,Alexander Wilson,IT Operations,IT Manager,Active,E000022,6,,204400.61
E000024,Stephen Sanchez,Marketing,Brand Manager,Active,HR000019,5,,200443.14
HR000025,Frank Edwards,Human Resources,Talent Acquisition Lead,Active,HR000001,0,,185389.42
EMP000026,Jeffrey Hall,Finance & Accounting,Financial Analyst,Active,E000022,11,,110245.61
HR000027,Timothy Ramirez,Customer Support,Support Specialist,Terminated,HR000001,0,2024-09-14,70388.99
EMP000028,Ashley Williams,Engineering,Senior Software Engineer,Active,EMP000018,2,,126037.76
HR000029,Katherine Harris,Product Management,VP of Product,Active,,5,,279173.29
CV000030,Justin Torres,Executive Management,Chief of Staff,Active,CV000002,1,,133736.19
CV000031,Pamela Rodriguez,Engineering,Tech Lead,Active,EMP000018,0,,185665.74
HR000032,Eric Parker,Executive Management,Executive Assistant,Active,HR000025,6,,65962.6
E000033,James Scott,Finance & Accounting,Financial Analyst,Active,E000022,0,,71186.9
E000034,Anna Hernandez,Research & Development,R&D Director,Active,,0,,586553.65
EMP000035,Sarah Torres,Finance & Accounting,CFO,Active,,1,,602520.86
E000036,Robert Gonzalez,Customer Support,Customer Success Manager,Terminated,HR000023,9,2024-11-30,156768.39
HR000037,Patrick Flores,Research & Development,Research Scientist,Active,E000034,3,,90557.11
HR000038,William Green,Product Management,VP of Product,Active,,5,,315247.61
E000039,Karen Lee,Research & Development,Research Engineer,Terminated,HR000011,0,2025-09-02,67325.74
EMP000040,Heather Moore,Customer Support,Technical Support Agent,Active,E000022,1,,66285.6
HR000041,Daniel King,Product Management,Associate Product Manager,Active,E000024,8,,186861.11
HR000042,Maria Harris,Customer Support,Customer Success Manager,Active,CV000031,8,,208057.31
E000043,Mary Baker,Human Resources,CHRO,Active,,0,,444700.17
E000044,Gregory Hill,Research & Development,R&D Director,Active,,3,,445634.11
EMP000045,Sharon King,IT Operations,DevOps Engineer,Active,E000010,5,,82539.27
HR000046,Larry Brown,Engineering,Engineering Manager,Active,CV000031,1,,189943.46
E000047,Amy Allen,Human Resources,CHRO,Active,,0,,397546.0
HR000048,Jack Nelson,Human Resources,CHRO,Active,,4,,602020.83
EMP000049,William White,Customer Support,Escalation Specialist,Active,HR000042,2,,83068.86
EMP000050,Michelle Walker,Product Management,Product Owner,Active,HR000038,1,,59352.89
EMP000051,Helen Edwards,Finance & Accounting,Accountant,Active,E000022,2,,57033.16
E000052,Jason Young,IT Operations,System Administrator,Terminated,HR000001,3,2024-01-30,63105.44
CV000053,Jacob Sanchez,Marketing,Digital Marketing Manager,Active,E000024,2,,174118.69
CV000054,Brian Stewart,IT Operations,System Administrator,Terminated,CV000002,1,2025-05-13,54471.43
CV000055,Jessica Clark,Finance & Accounting,Bookkeeper,Active,CV000031,3,,56139.1
CV000056,Joseph Miller,Sales,Account Executive,Terminated,E000022,0,2024-12-17,60347.7
HR000057,Jason Walker,Product Management,Product Owner,Active,HR000029,3,,59020.35
HR000058,Betty Walker,Engineering,Engineering Manager,Active,HR000046,6,,159540.04
E000059,Thomas Sanchez,Sales,Sales Manager,Active,E000044,23,,237079.73
CV000060,Mark Perez,Research & Development,Research Engineer,Terminated,E000034,0,2024-12-08,66549.66
CV000061,Kenneth Morris,Sales,Account Executive,Terminated,E000059,0,2025-03-19,59895.09
E000062,Carol Martin,Engineering,Software Engineer,Active,HR000046,5,,102443.52
HR000063,Ashley Adams,Product Management,Senior Product Manager,Active,EMP000021,4,,144143.44
HR000064,Alexander Lewis,Engineering,Software Engineer,Active,CV000031,14,,112376.58
EMP000065,Thomas Gonzalez,Research & Development,Principal Scientist,Active,HR000042,6,,148870.02
E000066,Elizabeth Walker,Research & Development,Principal Scientist,Active,E000044,13,,128584.98
CV000067,Larry Brown,IT Operations,IT Manager,Active,HR000023,8,,187193.3
E000068,Nicole Moore,IT Operations,Network Engineer,Terminated,CV000067,0,2024-06-13,82763.38
HR000069,Sandra Jackson,Product Management,Associate Product Manager,Terminated,HR000029,0,2025-10-11,167349.61
CV000070,Jonathan Davis,Sales,Business Development Rep,Active,E000059,2,,57802.84
EMP000071,Dorothy Brown,Sales,Sales Manager,Active,HR000042,1,,145801.92
HR000072,Katherine Taylor,Executive Management,Executive Assistant,Active,CV000002,1,,53869.63
E000073,Melissa Martinez,Finance & Accounting,Accountant,Active,EMP000035,3,,68568.3
CV000074,Daniel Evans,Research & Development,R&D Director,Active,,4,,374567.81
E000075,Patrick King,Customer Support,Support Specialist,Terminated,HR000058,4,2025-09-08,74644.48
CV000076,Benjamin Hill,Sales,Sales Representative,Active,E000059,15,,85412.8
EMP000077,Lisa Martin,Marketing,Brand Manager,Active,HR000001,0,,178442.88
EMP000078,Karen Smith,IT Operations,System Administrator,Active,CV000067,1,,54336.96
HR000079,Lisa Davis,IT Operations,System Administrator,Active,CV000067,15,,77480.23
E000080,Jason King,Marketing,Marketing Analyst,Active,CV000053,1,,94144.02
HR000081,Paul Murphy,Finance & Accounting,CFO,Active,,2,,580807.77
E000082,Kenneth Martinez,Research & Development,Research Engineer,Active,CV000074,6,,97779.51
HR000083,David Lee,Customer Support,Technical Support Agent,Terminated,HR000042,7,2024-02-02,70320.65
HR000084,Rebecca Scott,Finance & Accounting,Bookkeeper,Active,HR000081,3,,69122.93
HR000085,Donald White,Sales,Account Executive,Active,E000022,25,,94525.22
CV000086,Cynthia Martinez,Human Resources,Talent Acquisition Lead,Terminated,E000043,1,2025-11-06,137066.24
CV000087,Linda Hall,Engineering,Engineering Manager,Terminated,CV000031,4,2024-04-29,181389.41
E000088,Dennis Lopez,Finance & Accounting,CFO,Active,,0,,587191.44
CV000089,Katherine Hall,Sales,Sales Manager,Active,E000059,0,,174971.8
HR000090,Pamela Allen,Product Management,VP of Product,Terminated,,1,2024-11-11,294137.04
CV000091,Ronald Flores,Sales,Account Executive,Active,E000059,2,,70809.77
E000092,Lisa Brown,Marketing,CMO,Active,,2,,380179.69
EMP000093,Donald Jackson,Customer Support,Escalation Specialist,Terminated,CV000031,0,2025-03-02,65329.31
HR000094,Larry Turner,Finance & Accounting,Accountant,Active,E000043,0,,51172.1
CV000095,Maria Sanchez,Marketing,Content Manager,Active,EMP000021,6,,168678.62
HR000096,Emma Collins,Sales,Sales Manager,Terminated,CV000089,0,2025-04-26,135512.7
CV000097,Nicholas King,Executive Management,CEO,Active,,3,,470981.87
HR000098,Alexander Roberts,Research & Development,Data Scientist,Terminated,CV000074,1,2025-11-17,69970.72
CV000099,Brenda Collins,Engineering,Staff Engineer,Terminated,HR000046,0,2023-12-06,137032.52
E000100,Kathleen Taylor,Finance & Accounting,CFO,Active,,12,,633476.07
CV000101,Stephanie Clark,Executive Management,CEO,Active,,0,,561208.91
HR000102,Debra Williams,Executive Management,CEO,Active,,0,,524936.32
CV000103,Andrew Harris,Customer Support,Escalation Specialist,Active,HR000042,2,,79938.6
EMP000104,David Lopez,Engineering,Staff Engineer,Terminated,HR000058,7,2024-08-02,123085.02
CV000105,Cynthia Williams,Human Resources,Recruiter,Active,HR000048,14,,74343.79
E000106,Michael Wilson,Sales,Business Development Rep,Active,EMP000071,2,,52530.4
E000107,Rebecca King,IT Operations,IT Manager,Active,CV000067,11,,154311.68
CV000108,Kathleen Walker,Human Resources,CHRO,Active,,7,,483214.25
E000109,Stephen Turner,Executive Management,Vice President,Active,,0,,342476.86
EMP000110,Christopher Morris,Finance & Accounting,Senior Accountant,Active,HR000081,3,,137039.2
HR000111,Sarah Green,Finance & Accounting,CFO,Active,,17,,433468.86
E000112,Margaret Thompson,IT Operations,Network Engineer,Active,CV000002,17,,110543.57
HR000113,Frank Young,Finance & Accounting,Controller,Active,HR000081,2,,60258.19
EMP000114,Jonathan Ramirez,Research & Development,ML Engineer,Active,HR000011,9,,104018.72
CV000115,Samuel Johnson,Executive Management,Chief of Staff,Active,HR000102,0,,123072.16
CV000116,Mark Roberts,Finance & Accounting,Bookkeeper,Active,E000088,2,,58173.73
EMP000117,George Turner,IT Operations,Security Analyst,Active,HR000063,1,,76194.19
CV000118,John Martinez,Marketing,Marketing Analyst,Active,CV000067,8,,96651.83
HR000119,Brandon Adams,Research & Development,Research Scientist,Active,E000034,8,,90111.77
HR000120,Alexander Phillips,Customer Support,Escalation Specialist,Active,HR000041,0,,76760.37
CV000121,Margaret Garcia,Engineering,Software Engineer,Active,EMP000018,2,,88314.22
EMP000122,Nancy Thomas,IT Operations,DevOps Engineer,Active,HR000058,1,,89970.29
EMP000123,Barbara Cook,Customer Support,Support Specialist,Active,HR000042,5,,81396.12
CV000124,Gary Edwards,Marketing,Content Manager,Terminated,E000010,2,2024-09-29,136501.14
CV000125,Samantha Murphy,Finance & Accounting,Senior Accountant,Terminated,E000100,0,2024-12-12,103040.47
EMP000126,Charles King,Product Management,Product Manager,Terminated,HR000029,1,2024-11-24,133171.78
E000127,John Lee,Customer Support,Technical Support Agent,Active,HR000042,0,,47531.6
E000128,Catherine Phillips,Finance & Accounting,Controller,Active,HR000111,3,,55760.74
EMP000129,Susan Nguyen,Executive Management,General Manager,Active,HR000102,0,,180544.22
E000130,Sharon Gonzalez,Executive Management,General Manager,Active,CV000002,2,,140029.43
E000131,Donna Hill,Human Resources,HR Manager,Active,E000043,2,,190091.43
EMP000132,Jerry Lee,Engineering,Software Engineer,Active,HR000046,1,,76387.88
E000133,Donna Hill,IT Operations,Security Analyst,Terminated,E000109,1,2024-09-13,89109.89
E000134,Betty Gonzalez,Sales,Regional Sales Director,Terminated,,3,2025-06-10,465750.87
EMP000135,Ashley Torres,Sales,Sales Manager,Active,EMP000071,0,,170303.11
